#{"t_start": 1736080320.903883, "env_id": "None"}
r,l,t
-12.4637,1000,403.380176
39.83678,1000,403.380185
24.47316,1000,403.380195
48.440044,1000,403.380204
35.062923,1000,412.960618
33.136417,1000,412.960668
43.74569,1000,412.960683
31.799593,1000,412.960695
43.478058,1000,412.960705
33.421776,1000,412.960715
23.24115,1000,412.960724
35.770493,1000,412.960734
50.495636,1000,412.960743
44.221798,1000,412.960753
26.437263,1000,418.722759
25.211508,1000,418.722813
34.807972,1000,418.722828
27.425177,1000,418.722839
24.917816,1000,418.722849
57.44867,1000,418.722859
34.2551,1000,418.722869
102.28121,1000,418.722878
27.229282,1000,418.722891
57.119034,1000,418.722902
31.783237,1000,428.512399
64.7383,1000,428.51245
47.1129,1000,428.512465
26.724272,1000,428.51248
50.124733,1000,428.51249
66.75248,1000,428.5125
34.464653,1000,428.51251
25.78631,1000,428.51252
52.232403,1000,428.51253
51.16869,1000,428.512539
37.305935,1000,434.353164
68.25201,1000,434.353213
30.92075,1000,434.353228
39.85285,1000,434.353239
49.030937,1000,434.353249
-138.47426,1000,434.353259
30.359312,1000,434.353268
42.203373,1000,434.353281
64.9119,1000,434.353291
64.024414,1000,434.353301
